//Anzahl an Prozessen
m=4

//Anzahl an verschiedenen Betriebsmitteln
n=3

//Gesamtheit aller verfügbaren Ressourcen
f={24,24,24}

//Liste an Anforderungen
A={2,2,2,0,0,0,0,0,0,0,0,0}
A={10,10,10,0,0,0,0,0,0,0,0,0}
A={0,0,0,3,3,3,0,0,0,0,0,0}
A={0,0,0,4,4,4,0,0,0,0,0,0}
A={0,0,0,11,11,11,0,0,0,0,0,0}
A={0,0,0,0,0,0,5,5,5,0,0,0}
A={0,0,0,0,0,0,6,6,6,0,0,0}
A={0,0,0,0,0,0,12,12,12,0,0,0}
A={0,0,0,0,0,0,0,0,0,7,7,7}
A={0,0,0,0,0,0,0,0,0,8,8,8}
A={0,0,0,0,0,0,0,0,0,9,9,9}
A={1,1,1,0,0,0,0,0,0,0,0,0}
